sr no,Dta,Dts,QFE,RF,Q,RH,S,SR,Sx,T
412,318,20,1001.9,0,824,66.8,16,14,29,20.03
413,318,23,1002,0,826,67.3,11,22,22,20.05
414,323,24,1001.9,0,828,68.8,12,19,22,20.11
415,324,22,1001.8,0,830,67.4,11,20,23,20.41
416,329,24,1001.7,0,832,64.5,12,19,20,20.64
417,335,22,1001.4,0,834,66.3,11,19,23,20.36
418,339,19,1001.3,0,836,67.6,12,16,23,20.12
419,348,17,1001.4,0,838,67.6,11,12,23,20.13
420,337,18,1001.6,0.3,840,71.2,14,16,21,19.4
421,335,19,1001.3,0.3,842,81.6,12,10,19,18.43
422,340,18,1001,0.5,844,87.8,9,21,18,18.09
423,342,23,1001.2,0.5,846,92.1,8,4,17,17.99
424,351,17,1001,0,848,95.2,9,14,16,18.02
425,328,35,1001.2,0,850,97.6,8,24,16,18.14
426,270,21,1001.1,0,852,96.8,11,9,18,17.69
427,266,22,1001.2,0,854,96.7,11,27,20,17.51
428,249,23,1001.2,0,856,97.3,9,12,18,17.19
429,250,24,1001.4,0,858,97.3,9,25,16,17.15
430,247,24,1001.3,0,860,97.1,9,14,14,17
431,238,21,1001.3,0,862,97.2,7,13,14,16.95
432,247,22,1001.5,0,864,96.7,7,30,14,16.88
433,246,20,1001.6,0,866,95.4,8,16,12,17.02
434,239,21,1001.4,0,868,93.8,8,7,11,17.06
435,238,29,1001.2,0,870,91.8,8,22,14,16.78
436,236,28,1001.4,0,872,93,4,20,9,16.57
437,256,21,1001.4,0.5,874,93.5,7,20,16,16.42
438,257,18,1001.4,0,876,95.1,9,19,15,16.04
439,276,16,1001.4,0.2,878,96.9,5,5,11,16.11
440,285,19,1001.3,0,880,97.5,6,18,9,16.04
441,298,15,1001.5,0,882,96.9,7,20,11,15.88
442,285,20,1001.4,0,884,94.3,7,25,12,16.06
443,273,19,1001.3,0,886,82,9,20,15,16.18
444,270,20,1001.4,0,888,76.1,9,13,16,16.39
445,266,22,1001.4,0,890,72.3,9,26,16,16.44
446,270,20,1001.8,0,892,71.5,9,15,16,16.41
447,283,15,1002.1,0,894,73.3,6,15,9,16.13
448,281,19,1002.1,0,896,72.5,6,19,10,16.21
449,283,16,1002.1,0,898,71.5,6,21,11,16.39
450,281,16,1001.8,0,900,69.7,6,27,9,16.5
451,283,14,1001.6,0,902,70.4,4,15,8,16.18
452,296,14,1001.4,0,904,71.4,4,26,7,15.91
453,319,12,1001.2,0,906,73.6,4,22,6,15.63
454,321,7,1000.8,0,908,74.3,3,15,5,15.62
455,313,7,1001.1,0,910,76,4,16,6,15.61
456,294,20,1001.1,1.6,912,82.5,5,28,9,14.94
457,297,12,1001.2,0,914,87,5,13,7,14.64
458,284,16,1001.2,0,916,89.5,5,19,7,14.39
459,316,6,1001.3,0,918,90.8,4,11,5,14.24
460,340,26,1001.2,0,920,91.6,2,14,5,14.01
461,27,9,1001.1,0,922,92.8,4,10,6,13.79
462,29,8,1000.8,0,924,93.7,5,17,7,13.71
