ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10490457,HZ231308,04/18/2016 05:50:00 PM,112XX S AVENUE O,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0433,004,10,52,08B,1200900,1831003,2016,04/25/2016 03:51:07 PM,41.69103639,-87.540105762,"(41.691036, -87.540106)"
10490461,HZ231382,04/18/2016 08:20:00 PM,033XX W BEACH AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,1422,014,26,23,08B,1153745,1909437,2016,04/25/2016 03:51:07 PM,41.907332401,-87.710664601,"(41.907332, -87.710665)"
10490463,HZ231299,04/18/2016 06:30:00 PM,023XX E 70TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0331,003,5,43,14,1192666,1858660,2016,04/25/2016 03:51:07 PM,41.767133915,-87.569351843,"(41.767134, -87.569352)"
10490464,HZ231169,04/18/2016 03:15:00 PM,035XX N WOLCOTT AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1922,019,47,5,05,1163048,1923457,2016,04/25/2016 03:51:07 PM,41.945613765,-87.676095804,"(41.945614, -87.676096)"
10490465,HZ231402,04/18/2016 07:27:00 PM,031XX W GEORGE ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,false,false,1411,014,35,21,24,1154730,1919112,2016,04/25/2016 03:51:07 PM,41.933861717,-87.706786578,"(41.933862, -87.706787)"
10490466,HZ231194,04/18/2016 06:45:00 AM,030XX N CLYBOURN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1931,019,1,5,05,1160806,1920242,2016,04/25/2016 03:51:07 PM,41.93683849,-87.684426038,"(41.936838, -87.684426)"
10490467,HZ231278,04/18/2016 06:40:00 PM,093XX S GREENWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0413,004,8,47,08B,1185179,1843122,2016,04/25/2016 03:51:07 PM,41.724675252,-87.597281565,"(41.724675, -87.597282)"
10490469,HZ231388,04/18/2016 07:44:00 PM,083XX S DORCHESTER AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0412,004,8,45,18,1186990,1849936,2016,04/25/2016 03:51:07 PM,41.743330898,-87.590432526,"(41.743331, -87.590433)"
10490471,HZ231353,04/18/2016 07:45:00 PM,027XX S TRUMBULL AVE,0460,BATTERY,SIMPLE,RESIDENCE-GARAGE,false,false,1032,010,22,30,08B,1153808,1885656,2016,04/25/2016 03:51:07 PM,41.842073559,-87.711066504,"(41.842074, -87.711067)"
10490472,HZ230981,04/18/2016 03:15:00 PM,077XX S BENNETT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,true,0414,004,8,43,08B,,,2016,04/25/2016 03:51:07 PM,,,
10490473,HZ231322,04/18/2016 04:50:00 PM,071XX W SUMMERDALE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,false,1613,016,41,10,20,1127580,1934968,2016,04/25/2016 03:51:07 PM,41.977873488,-87.806205154,"(41.977873, -87.806205)"
10490474,HZ231234,04/18/2016 10:15:00 AM,030XX N CLYBOURN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1931,019,1,5,05,1160806,1920242,2016,04/25/2016 03:51:07 PM,41.93683849,-87.684426038,"(41.936838, -87.684426)"
10490478,HZ231380,04/18/2016 05:30:00 PM,040XX W 21ST PL,0820,THEFT,$500 AND UNDER,STREET,false,true,1012,010,24,29,06,1149877,1889455,2016,04/25/2016 03:51:07 PM,41.852575745,-87.725393534,"(41.852576, -87.725394)"
10490479,HZ231348,04/18/2016 07:30:00 PM,013XX W 15TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,false,true,1233,012,2,28,08B,1167637,1892859,2016,04/25/2016 03:51:07 PM,41.861553084,-87.660110993,"(41.861553, -87.660111)"
10490480,HZ231191,04/18/2016 05:42:00 PM,018XX S PULASKI RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1012,010,24,29,06,1150007,1890745,2016,04/25/2016 03:51:07 PM,41.856113138,-87.72488284,"(41.856113, -87.724883)"
10490483,HZ231344,04/18/2016 02:20:00 PM,097XX S CALUMET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0511,005,6,49,14,1180296,1840511,2016,04/25/2016 03:51:07 PM,41.717623519,-87.615247586,"(41.717624, -87.615248)"
10490484,HZ231409,04/18/2016 08:30:00 PM,049XX W HUBBARD ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,true,false,1532,015,28,25,18,1143399,1902560,2016,04/25/2016 03:51:07 PM,41.888660927,-87.748842529,"(41.888661, -87.748843)"
10490486,HZ231411,04/18/2016 11:30:00 AM,011XX W WILSON AVE,0560,ASSAULT,SIMPLE,HOTEL/MOTEL,false,false,1913,019,46,3,08A,1167822,1930700,2016,04/25/2016 03:51:07 PM,41.965387049,-87.658338686,"(41.965387, -87.658339)"
10490487,HZ231155,04/18/2016 04:00:00 PM,077XX S COLFAX AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0421,004,7,43,08A,1194865,1854118,2016,04/25/2016 03:51:07 PM,41.754616453,-87.561441152,"(41.754616, -87.561441)"
10490489,HZ231323,04/18/2016 07:26:00 PM,121XX S WALLACE ST,1020,ARSON,BY FIRE,RESIDENCE,false,false,0523,005,34,53,09,1174497,1824463,2016,04/25/2016 03:51:07 PM,41.673716148,-87.636962086,"(41.673716, -87.636962)"
10490491,HZ231046,04/18/2016 04:15:00 PM,035XX W DOUGLAS BLVD,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1021,010,24,29,04B,1152849,1893059,2016,04/25/2016 03:51:07 PM,41.862407283,-87.714389956,"(41.862407, -87.71439)"
10490493,HZ231301,04/18/2016 02:30:00 AM,023XX W 95TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,2221,022,19,72,08B,1162628,1841590,2016,04/25/2016 03:51:07 PM,41.720970635,-87.679928451,"(41.720971, -87.679928)"
10490496,HZ231321,04/18/2016 07:20:00 PM,016XX W HOWARD ST,0460,BATTERY,SIMPLE,PARK PROPERTY,false,false,2422,024,49,1,08B,1164177,1950345,2016,04/25/2016 03:51:07 PM,42.019371503,-87.671181992,"(42.019372, -87.671182)"
10490498,HZ231109,04/18/2016 03:15:00 PM,008XX N MASSASOIT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1511,015,29,25,08B,,,2016,04/25/2016 03:51:07 PM,,,
10490502,HZ231384,04/18/2016 07:55:00 PM,078XX S HALSTED ST,1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,GOVERNMENT BUILDING/PROPERTY,false,false,0621,006,17,71,11,1172325,1852947,2016,04/25/2016 03:51:07 PM,41.751928332,-87.644077264,"(41.751928, -87.644077)"
