sr_no,Dta,Dts,QFE,RF,Q,RH,S,SR,Sx,T
580,245,12,1010.5,0,1160,68.6,5,14,7,17.37
581,240,18,1010.4,0,1162,68.5,5,21,7,17.52
582,237,13,1010.4,0,1164,68.4,4,23,6,17.53
583,231,22,1010.3,0,1166,67.7,5,22,7,17.8
584,234,21,1010.2,0,1168,66.4,5,8,7,17.94
585,243,16,1010.1,0,1170,64.7,5,25,8,17.88
586,246,19,1010.1,0,1172,62.9,6,21,10,18.05
587,248,21,1010,0,1174,60.7,7,25,11,18.12
588,255,16,1010,0,1176,61.2,7,17,11,18.09
589,247,18,1010,0,1178,63,6,23,10,18.02
590,255,19,1009.9,0,1180,63.8,6,9,10,17.97
591,249,18,1009.9,0,1182,64.4,6,17,9,17.85
592,250,17,1009.8,0,1184,64.4,6,22,9,17.69
593,257,14,1009.8,0,1186,64,7,22,12,17.68
594,255,18,1009.8,0,1188,65.5,6,11,8,17.52
595,260,21,1009.7,0,1190,66.5,6,13,7,17.48
596,254,17,1009.7,0,1192,65.6,7,10,12,17.55
597,261,19,1009.7,0,1194,65.3,7,17,11,17.48
598,264,17,1009.6,0,1196,65.7,6,6,8,17.31
599,263,15,1009.6,0,1198,66.4,5,26,8,17.1
600,258,11,1009.5,0,1200,67.2,4,13,6,16.92
601,258,13,1009.5,0,1202,66.9,4,13,7,16.98
602,259,17,1009.4,0,1204,67,4,29,6,16.97
603,278,10,1009.3,0,1206,66.1,4,11,6,17.09
604,281,11,1009.2,0,1208,66.2,5,20,8,17.23
605,262,14,1009.3,0,1210,66.6,5,11,6,17.13
606,265,15,1009.3,0,1212,66.6,5,13,8,17.23
607,267,17,1009.4,0,1214,66.5,5,15,8,17.41
608,260,18,1009.4,0,1216,65.8,6,21,10,17.54
609,266,18,1009.5,0,1218,65.1,6,19,11,17.7
610,265,16,1009.4,0,1220,63.9,7,24,12,17.82
611,268,17,1009.3,0,1222,64.4,6,11,10,17.82
612,272,16,1009.4,0,1224,64.7,6,13,9,17.91
613,265,19,1009.4,0,1226,64.4,6,27,9,18.05
614,275,18,1009.5,0,1228,65.9,8,8,12,17.85
615,286,18,1009.5,0,1230,65.4,7,19,11,17.72
616,281,19,1009.6,0,1232,66.9,5,13,9,17.6
617,266,19,1009.6,0,1234,66.3,7,19,11,17.98
618,266,18,1009.7,0,1236,65.2,7,19,11,18.05
